Data
1.5987
1.00365
0.662488
0.424468
0.325294
0.257855
0.23802
0.253888
0.305459
0.360997
0.44827
0.44827
0.483973
0.555379
0.642653
0.714059
0.777531
0.761663
0.595049
0.388765
0.214218
0.0872739
0.0436369
0.0912409
0.214218
0.678356
1.25357
1.88432
2.40797
3.11806
4.01857
5.49429
7.34687
9.10029
11.8573
15.5348
18.7123
20.5252
21.2115
21.2869
21.6003
22.4175
25.1388
31.9264
41.0346
49.6826
55.8196
60.9727
64.2177
66.344
67.9507
69.1487
70.1365
71.1163
71.6122
71.9097
71.6241
70.5252
68.5417
66.4749
65.2888
64.7731
65.4673
66.5979
68.4862
70.1404
71.7709
73.2149
74.4803
75.0119
75.0397
74.9167
74.2978
73.2387
72.6277
71.8819
70.4538
67.8634
63.9678
59.8183
55.6807
52.3366
49.885
48.5124
46.517
44.2598
40.9711
38.1069
35.8378
34.8064
34.3661
34.7786
34.5168
33.4576
33.1363
33.9257
36.0877
37.7856
38.456
38.7456
39.1146
39.6699
40.027
40.1698
40.0706
40.0349
39.8921
40.9751
43.9464
48.7266
53.9392
57.9538
60.9806
63.226
64.8524
66.9827
68.8988
70.795
72.235
73.2625
74.163
74.3177
74.6668
74.7659
74.758
75.119
75.6784
75.8053
75.8489
76.0275
75.8886
75.9759
75.7855
75.3451
74.762
74.0916
73.8337
73.8773
73.794
73.4211
73.1633
72.9808
72.3461
71.8383
72.0168
72.5286
72.9967
73.3815
73.2744
73.1514
72.9689
74.0201
74.9524
75.5316
75.4205
75.0476
74.3534
73.6869
73.6512
74.401
75.0992
75.7458
76.087
76.1742
75.7498
75.3015
75.4245
75.8648
76.924
77.769
78.1855
78.0109
77.0589
75.5117
73.6155
71.152
68.9027
66.352
63.4719
60.0087
56.1568
51.9319
46.4138
42.8356
44.8548
49.7064
52.6381
53.4751
53.606
53.5227
53.61
53.5227
53.5782
53.4116
53.1657
52.2057
48.6116
40.5506
27.9475
15.8719
9.21136
5.49032
4.86354
4.7842
4.74453
4.61361
4.35576
4.08997
3.85989
3.64964
3.54253
3.51872
6.24405
8.75516
11.5241
17.7761
29.3597
40.9037
49.7421
56.1885
60.6791
63.94
66.4194
67.9308
69.0059
69.4065
69.4898
69.3708
68.9622
67.5738
64.8683
60.9251
55.8831
49.5279
41.4948
31.3789
19.9421
8.04903
0.825135
0.630752
0.555379
0.503808
0.468105
0.464138
0.436369
0.400666
0.341162
0.265789
0.146779
0.0396699
0.011901
0.023802
0.0396699
0.0714059
0.0872739
0.115043
0.146779
0.150746
0.162647
0.182482
0.178515
0.186449
0.186449
0.19835
0.249921
0.424468
0.571247
0.64662
0.654554
0.698191
0.940178
1.59076
2.93161
13.0752
25.6427
38.0514
47.8499
54.9032
59.2907
62.7142
65.6855
67.8753
68.9543
69.3986
69.8429
70.6522
71.751
